Pos,Team,P,W,D,L,F,A,GD,Pts
1,Real Madrid,38,27,4,7,84,36,+48,85
2,Villarreal,38,24,5,9,63,40,+23,77
3,Barcelona,38,19,10,9,76,43,+33,67
4,Sevilla,38,20,4,14,75,49,+26,64
5,Atletico Madrid,38,19,7,12,66,47,+19,64
6,Racing Santander,38,17,9,12,42,41,+1,60
7,Real Mallorca,38,15,14,9,69,54,+15,59
8,Deportivo de La Coruna,38,15,7,16,46,47,-1,52
9,Almeria,38,14,10,14,42,45,-3,52
10,Valencia,38,15,6,17,48,62,-14,51
11,Athletic Bilbao,38,13,11,14,40,43,-3,50
12,Espanyol,38,13,9,16,43,53,-10,48
13,Getafe,38,12,11,15,44,48,-4,47
14,Real Betis,38,12,11,15,45,51,-6,47
15,Real Valladolid,38,11,12,15,42,57,-15,45
16,Recreativo Huelva,38,11,11,16,40,60,-20,44
17,Osasuna,38,12,7,19,37,44,-7,43
18,Real Zaragoza,38,10,12,16,50,61,-11,42
19,Real Murcia,38,7,9,22,36,65,-29,30
20,Levante,38,7,5,26,33,75,-42,26
