Pos,Team,P,W,D,L,F,A,GD,Pts
1,VFB Stuttgart,34,21,7,6,61,37,+24,70
2,Schalke,34,21,5,8,53,32,+21,68
3,Werder Bremen,34,20,6,8,76,40,+36,66
4,Bayern Munich,34,18,6,10,55,40,+15,60
5,Leverkusen,34,15,6,13,54,49,+5,51
6,Nurnberg,34,11,15,8,43,32,+11,48
7,Hamburger,34,10,15,9,43,37,+6,45
8,VfL Bochum 1848,34,13,6,15,49,50,-1,45
9,Borussia Dortmund,34,12,8,14,41,43,-2,44
10,Hertha Berlin,34,12,8,14,50,55,-5,44
11,Hannover 96,34,12,8,14,41,50,-9,44
12,Arminia Bielefeld,34,11,9,14,47,49,-2,42
13,Cottbus,34,11,8,15,38,49,-11,41
14,Eintracht Frankfurt,34,9,13,12,46,58,-12,40
15,Wolfsburg,34,8,13,13,37,45,-8,37
16,Mainz,34,8,10,16,34,57,-23,34
17,Alemannia Aachen,34,9,7,18,46,70,-24,34
18,Borussia Monchengladbach,34,6,8,20,23,44,-21,26
