Pos,Team,P,W,D,L,F,A,GD,Pts
1,PSV Eindhoven,34,21,9,4,65,24,+41,72
2,Ajax,34,20,9,5,94,45,+49,69
3,NAC Breda,34,19,6,9,48,40,+8,63
4,Twente,34,17,11,6,52,32,+20,62
5,SC Heerenveen,34,18,6,10,88,48,+40,60
6,Feyenoord,34,18,6,10,64,41,+23,60
7,FC Groningen,34,15,6,13,53,54,-1,51
8,N.E.C.,34,14,7,13,49,50,-1,49
9,Roda JC Kerkrade,34,12,11,11,55,55,+0,47
10,FC Utrecht,34,13,7,14,59,55,+4,46
11,AZ Alkmaar,34,11,10,13,48,53,-5,43
12,Vitesse Arnhem,34,12,7,15,46,55,-9,43
13,Sparta Rotterdam,34,9,7,18,52,76,-24,34
14,Heracles Almelo,34,8,8,18,34,64,-30,32
15,Willem II,34,8,7,19,40,49,-9,31
16,De Graafschap,34,7,9,18,33,64,-31,30
17,VVV-Venlo,34,7,8,19,44,76,-32,29
18,Excelsior,34,7,6,21,32,75,-43,27
